method,method_key,M,subvector_dimension,nprobe,lookup_table_precision,index_vectors,build_seconds,recall_at_10,success_at_10,mrr_at_10,ndcg_at_10,p50_ms_per_query,p95_ms_per_query,qps,timed_queries,tail_queries_excluded,serialized_index_bytes,external_transform_bytes,serialized_total_bytes,serialized_compression_x,analytical_code_bytes,analytical_code_compression_x,pareto_quality_storage,pareto_quality_qps,source_run
Native Faiss OPQMatrix + GPU IVF-PQ,native_opq_ivfpq,48,8.0,4,float16,1000000,1162.6647588019996,0.5908667621776504,0.6008595988538682,0.43595516668940737,0.4694669372648645,0.0059402187559953745,0.007996121877340555,147351.8510917258,6976,4,62717620,589952,71307572,21.652679465793618,48000000,32.0,false,true,pilot_m24_m48
Native Faiss OPQMatrix + GPU IVF-PQ,native_opq_ivfpq,48,8.0,16,float16,1000000,1162.6647588019996,0.6981255969436484,0.7078796561604584,0.5087376631645972,0.5507587674530096,0.01401248437105096,0.03348342813467297,60641.349378835075,6976,4,62717620,589952,71307572,21.652679465793618,48000000,32.0,false,false,pilot_m24_m48
Native Faiss OPQMatrix + GPU IVF-PQ,native_opq_ivfpq,48,8.0,32,float16,1000000,1162.6647588019996,0.7339422158548232,0.7435530085959885,0.5308408946195479,0.5761940230113619,0.023480781237594783,0.031549412494769044,41289.19302400785,6976,4,62717620,589952,71307572,21.652679465793618,48000000,32.0,false,true,pilot_m24_m48
Native Faiss OPQMatrix + GPU IVF-PQ,native_opq_ivfpq,48,8.0,64,float16,1000000,1162.6647588019996,0.7609360076408788,0.770487106017192,0.5481605607859189,0.5957879484094629,0.04147359375394899,0.04439388750938633,24087.86862185817,6976,4,62717620,589952,71307572,21.652679465793618,48000000,32.0,true,true,pilot_m24_m48
GPU IVF-PQ,ivfpq,64,6.0,4,float16,1000000,12.89349168300032,0.5990687679083094,0.6091690544412608,0.44460232182653386,0.47821156458678554,0.007819078120974154,0.008809950006138932,116670.14119368797,6976,4,78717620,0,86717620,17.804916693977532,64000000,24.0,false,false,full_m32_m64_m96
GPU IVF-PQ,ivfpq,64,6.0,16,float16,1000000,12.89349168300032,0.707712511938873,0.7177650429799427,0.5198745849820349,0.5613433876342399,0.014302124995424492,0.016533387500317076,68581.892704009,6976,4,78717620,0,86717620,17.804916693977532,64000000,24.0,false,true,full_m32_m64_m96
GPU IVF-PQ,ivfpq,64,6.0,32,float16,1000000,12.89349168300032,0.74481852913085,0.7541547277936963,0.5434067289762131,0.5882858883631737,0.02539659374178882,0.027287890628713285,39633.919845257406,6976,4,78717620,0,86717620,17.804916693977532,64000000,24.0,false,false,full_m32_m64_m96
GPU IVF-PQ,ivfpq,64,6.0,64,float16,1000000,12.89349168300032,0.7728868194842407,0.782378223495702,0.5623000523036339,0.6094012157557168,0.04658078124464282,0.04873926874893186,21628.41012968273,6976,4,78717620,0,86717620,17.804916693977532,64000000,24.0,true,true,full_m32_m64_m96
Native Faiss OPQMatrix + GPU IVF-PQ,native_opq_ivfpq,64,6.0,4,float16,1000000,1575.319611586,0.5982927411652341,0.6085959885386819,0.44440521671897026,0.4779282585070198,0.006943812508097835,0.008599378116969092,136660.3226396426,6976,4,78717620,589952,87307572,17.684605866716808,64000000,24.0,false,true,full_m32_m64_m96
Native Faiss OPQMatrix + GPU IVF-PQ,native_opq_ivfpq,64,6.0,16,float16,1000000,1575.319611586,0.7085601719197707,0.7186246418338109,0.5208371424023286,0.5625483485230695,0.014873890620492602,0.016924471884749437,65545.52869090787,6976,4,78717620,589952,87307572,17.684605866716808,64000000,24.0,false,true,full_m32_m64_m96
Native Faiss OPQMatrix + GPU IVF-PQ,native_opq_ivfpq,64,6.0,32,float16,1000000,1575.319611586,0.7465019102196753,0.7558739255014326,0.5462537522172193,0.591094266294478,0.025159406249031235,0.026345590623577664,39831.6025368161,6976,4,78717620,589952,87307572,17.684605866716808,64000000,24.0,false,true,full_m32_m64_m96
Native Faiss OPQMatrix + GPU IVF-PQ,native_opq_ivfpq,64,6.0,64,float16,1000000,1575.319611586,0.7751790830945559,0.7842406876790831,0.5654680606722154,0.6125800590856508,0.04627028124559729,0.050121334362529524,21511.954591683523,6976,4,78717620,589952,87307572,17.684605866716808,64000000,24.0,true,true,full_m32_m64_m96
GPU IVF-PQ,ivfpq,96,4.0,4,float16,1000000,17.756798379999964,0.6072588347659982,0.617191977077364,0.45805640833219635,0.4905752365636237,0.007752171882202674,0.009301915625314903,60196.18849085795,6976,4,110717620,0,118717620,13.005651562084887,96000000,16.0,false,false,full_m32_m64_m96
GPU IVF-PQ,ivfpq,96,4.0,16,float16,1000000,17.756798379999964,0.7194603629417382,0.7287965616045845,0.5361274275708373,0.5769508182705254,0.020542968755421498,0.023651587500239653,47147.26504407061,6976,4,110717620,0,118717620,13.005651562084887,96000000,16.0,false,true,full_m32_m64_m96
GPU IVF-PQ,ivfpq,96,4.0,32,float16,1000000,17.756798379999964,0.7595510983763132,0.7681948424068767,0.5618855460044572,0.6064309916475499,0.03716987500013147,0.03926423749476271,27327.661906190933,6976,4,110717620,0,118717620,13.005651562084887,96000000,16.0,false,true,full_m32_m64_m96
GPU IVF-PQ,ivfpq,96,4.0,64,float16,1000000,17.756798379999964,0.7886938872970392,0.7972779369627507,0.5833564720061855,0.6296698068439014,0.0687129375052109,0.0723614468768119,14619.053983627291,6976,4,110717620,0,118717620,13.005651562084887,96000000,16.0,true,false,full_m32_m64_m96
Native Faiss OPQMatrix + GPU IVF-PQ,native_opq_ivfpq,96,4.0,4,float16,1000000,2168.7220140240006,0.605826170009551,0.6153295128939829,0.4572661686451084,0.4894519196961576,0.007785296887163895,0.010061062494060025,116705.01265096552,6976,4,110717620,589952,119307572,12.941341225182255,96000000,16.0,false,true,full_m32_m64_m96
Native Faiss OPQMatrix + GPU IVF-PQ,native_opq_ivfpq,96,4.0,16,float16,1000000,2168.7220140240006,0.719269340974212,0.7287965616045845,0.5359470368854323,0.5766388172377709,0.02022909374943538,0.021877746871723502,49429.40357441076,6976,4,110717620,589952,119307572,12.941341225182255,96000000,16.0,false,true,full_m32_m64_m96
Native Faiss OPQMatrix + GPU IVF-PQ,native_opq_ivfpq,96,4.0,32,float16,1000000,2168.7220140240006,0.7592168099331422,0.7679083094555874,0.5623135830263337,0.606531455604763,0.03639104687636063,0.038437946884073426,27648.308004444036,6976,4,110717620,589952,119307572,12.941341225182255,96000000,16.0,false,true,full_m32_m64_m96
Native Faiss OPQMatrix + GPU IVF-PQ,native_opq_ivfpq,96,4.0,64,float16,1000000,2168.7220140240006,0.7894699140401146,0.7979942693409742,0.584207315686542,0.6304457263075037,0.06859475000453585,0.07169319999889012,14711.715364658805,6976,4,110717620,589952,119307572,12.941341225182255,96000000,16.0,true,true,full_m32_m64_m96
