qid,base_m32_recall@10,base_m32_success@10,base_m32_mrr@10,base_m32_ndcg@10,pca_r16_int8_recall@10,pca_r16_int8_success@10,pca_r16_int8_mrr@10,pca_r16_int8_ndcg@10,rars_r16_int8_recall@10,rars_r16_int8_success@10,rars_r16_int8_mrr@10,rars_r16_int8_ndcg@10
490595,0.625,1.0,1.0,0.4412230184898114,0.625,1.0,1.0,0.42840191652308307,0.625,1.0,1.0,0.43849054102745794
1103812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87181,0.2727272727272727,1.0,1.0,0.5232567163458878,0.2727272727272727,1.0,1.0,0.5489044210487404,0.2727272727272727,1.0,1.0,0.5216173984013966
443396,0.06666666666666667,1.0,1.0,0.2931678907415521,0.06666666666666667,1.0,1.0,0.2931678907415521,0.06666666666666667,1.0,1.0,0.2931678907415521
87452,0.6,1.0,1.0,0.6169532977309885,0.4,1.0,1.0,0.4364540762790479,0.6,1.0,1.0,0.6334381416894744
855410,1.0,1.0,0.14285714285714285,0.3333333333333333,1.0,1.0,0.3333333333333333,0.5,1.0,1.0,0.3333333333333333,0.5
1114646,0.25,1.0,1.0,0.40092298715804825,0.375,1.0,1.0,0.5255522360466987,0.375,1.0,1.0,0.5255522360466987
19335,0.5,1.0,1.0,0.8513665030829379,0.25,1.0,0.5,0.5158504273892156,0.25,1.0,1.0,0.8176035833928883
47923,0.42857142857142855,1.0,1.0,0.3190305187528087,0.5,1.0,1.0,0.45178804236341175,0.5,1.0,1.0,0.4482467609047989
405717,0.8571428571428571,1.0,0.5,0.5617265316176251,0.8571428571428571,1.0,1.0,0.6572706707202991,0.8571428571428571,1.0,1.0,0.6627062191571578
182539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1113437,0.25,1.0,1.0,0.31201527252282985,0.25,1.0,1.0,0.31572300411077775,0.25,1.0,1.0,0.3169442748527593
1129237,0.6,1.0,0.5,0.5987478709429586,0.6,1.0,0.5,0.5595053677199512,0.6,1.0,0.5,0.5595053677199512
146187,0.75,1.0,1.0,0.8740642370870833,0.75,1.0,1.0,0.8740642370870833,0.75,1.0,1.0,0.8807824012671632
